mean,std,min,max,missing_ratio,negative_ratio,flatline_ratio,saturation_ratio,spike_ratio,physiological_ratio,record,window,start_min,end_min,status,failure_reason
77.87065464496386,28.230387923266743,46.97378282749056,149.48693623368118,0.0,0.0,0.0010666666666666667,0.0,0.0,1.0,charis3,2,5.0,10.0,PASS,All criteria met
76.99800717284974,27.972894588317992,37.935095752813076,149.54918614466382,0.0,0.0,0.0011333333333333334,0.0,0.00013334222281485432,0.999,charis3,3,10.0,15.0,PASS,All criteria met
75.79352534525876,27.515609123155855,37.62384619789994,146.78529009703516,0.0,0.0,0.0012666666666666666,0.0,6.667111140742716e-05,0.9960666666666667,charis3,4,15.0,20.0,PASS,All criteria met
75.6995537096382,27.925907123064448,36.0426984589412,154.76572868500799,0.0,0.0,0.0017333333333333333,0.0,0.00026668444562970864,0.9945333333333334,charis3,5,20.0,25.0,PASS,All criteria met
72.99519430687215,25.6508885884406,37.524246340327736,144.43224346189186,0.0,0.0,0.001,0.0,0.0,0.9975333333333334,charis3,6,25.0,30.0,PASS,All criteria met
73.11734191220106,25.95639856202563,36.14229831651341,149.4371363048951,0.0,0.0,0.0014,0.0,0.0,0.9959333333333333,charis3,7,30.0,35.0,PASS,All criteria met
67.63679583938195,22.765278004866172,30.377956559522122,136.05340544363023,0.0,0.0,0.0018,0.0,0.0,0.9896,charis3,8,35.0,40.0,PASS,All criteria met
76.53045722144618,28.092503105821894,-21.52601921779252,199.18726516221082,0.0,0.0002,0.0011333333333333334,0.0,0.0012667511167411161,0.9954666666666667,charis3,9,40.0,45.0,PASS,All criteria met
85.15612941673494,27.817372598908968,24.87506442865787,177.22549656753992,0.0,0.0,0.0015333333333333334,0.0,0.00026668444562970864,0.9995333333333334,charis3,10,45.0,50.0,PASS,All criteria met
0.32152100606771933,0.19876716249628973,-0.13113879839704676,1.03818215397662,0.0,0.016266666666666665,0.024,0.0,0.0,0.0,charis4,1,0.0,5.0,FAIL,Out of physiological range
0.310524289273247,0.19353842961101392,-0.38248816199138636,0.7868327903822805,0.0,0.016,0.025866666666666666,0.0,0.0,0.0,charis4,2,5.0,10.0,FAIL,Out of physiological range
0.3107574249148417,0.19253907269424858,-0.21856466399507793,0.7868327903822805,0.0,0.01633333333333333,0.0236,0.0,0.0,0.0,charis4,3,10.0,15.0,FAIL,Out of physiological range
0.32972009516305467,0.19724405067711354,-0.09835409879778506,0.9507562883785889,0.0,0.015066666666666667,0.024533333333333334,0.0,0.0,0.0,charis4,4,15.0,20.0,FAIL,Out of physiological range
0.30057449721931107,0.1922501980025598,-0.2841340631936013,0.7649763239827727,0.0,0.017733333333333334,0.0224,0.0,0.0,0.0,charis4,5,20.0,25.0,FAIL,Out of physiological range
0.301775874322404,0.19433278843777066,-0.2950622963933552,0.7868327903822805,0.0,0.0188,0.024333333333333332,0.0,0.0,0.0,charis4,6,25.0,30.0,FAIL,Out of physiological range
0.32620120407273395,0.19869328799076258,-0.2950622963933552,0.9726127547780967,0.0,0.016133333333333333,0.0226,0.0,0.0,0.0,charis4,7,30.0,35.0,FAIL,Out of physiological range
0.3115996274201027,0.19323739719041627,-0.3606316955918786,0.7649763239827727,0.0,0.0172,0.0246,0.0,0.0,0.0,charis4,8,35.0,40.0,FAIL,Out of physiological range
0.3106466854850842,0.19366999970027055,-0.2950622963933552,0.7649763239827727,0.0,0.0176,0.0236,0.0,0.0,0.0,charis4,9,40.0,45.0,FAIL,Out of physiological range
